G,Date,Start (ET),Venue,Opponent,Result,Tm,Opp,W,L,Streak,Attend.,LOG,Season,Team
60,2025-03-02,6:00p,Away,Miami Heat,W,116,112,40,20,W 3,19725,2:32,2024,NYK
61,2025-03-04,7:30p,Home,Golden State Warriors,L,102,114,40,21,L 1,19812,2:22,2024,NYK
62,2025-03-06,10:00p,Away,Los Angeles Lakers,L,109,113,40,22,L 2,18997,2:52,2024,NYK
63,2025-03-07,10:30p,Away,Los Angeles Clippers,L,95,105,40,23,L 3,17927,2:12,2024,NYK
64,2025-03-10,10:30p,Away,Sacramento Kings,W,133,104,41,23,W 1,16539,2:22,2024,NYK
65,2025-03-12,10:00p,Away,Portland Trail Blazers,W,114,113,42,23,W 2,17510,2:41,2024,NYK
66,2025-03-15,8:30p,Away,Golden State Warriors,L,94,97,42,24,L 1,18064,2:17,2024,NYK
67,2025-03-17,7:30p,Home,Miami Heat,W,116,95,43,24,W 1,19812,2:19,2024,NYK
68,2025-03-19,8:00p,Away,San Antonio Spurs,L,105,120,43,25,L 1,18521,2:10,2024,NYK
69,2025-03-20,7:00p,Away,Charlotte Hornets,L,98,115,43,26,L 2,18557,2:04,2024,NYK
70,2025-03-22,8:00p,Home,Washington Wizards,W,122,103,44,26,W 1,19812,2:15,2024,NYK
71,2025-03-25,7:30p,Home,Dallas Mavericks,W,128,113,45,26,W 2,19812,2:05,2024,NYK
72,2025-03-26,7:30p,Home,Los Angeles Clippers,L,113,126,45,27,L 1,19812,2:10,2024,NYK
73,2025-03-28,8:00p,Away,Milwaukee Bucks,W,116,107,46,27,W 1,17605,2:09,2024,NYK
74,2025-03-30,6:00p,Home,Portland Trail Blazers,W,110,93,47,27,W 2,19812,2:07,2024,NYK
75,2025-04-01,7:30p,Home,Philadelphia 76ers,W,105,91,48,27,W 3,19314,2:10,2024,NYK
76,2025-04-02,7:00p,Away,Cleveland Cavaliers,L,105,124,48,28,L 1,19432,2:10,2024,NYK
77,2025-04-05,3:00p,Away,Atlanta Hawks,W,121,105,49,28,W 1,16199,2:04,2024,NYK
78,2025-04-06,7:00p,Home,Phoenix Suns,W,112,98,50,28,W 2,19812,2:14,2024,NYK
79,2025-04-08,7:30p,Home,Boston Celtics,L,117,119,50,29,L 1,19812,2:42,2024,NYK
80,2025-04-10,7:00p,Away,Detroit Pistons,L,106,115,50,30,L 2,20062,2:16,2024,NYK
81,2025-04-11,7:30p,Home,Cleveland Cavaliers,L,102,108,50,31,L 3,19812,2:18,2024,NYK
82,2025-04-13,1:00p,Away,Brooklyn Nets,W,113,105,51,31,W 1,17926,2:22,2024,NYK
1,2024-10-23,7:00p,Away,Detroit Pistons,W,115,109,1,0,W 1,20062,2:23,2024,IND
2,2024-10-25,7:30p,Away,New York Knicks,L,98,123,1,1,L 1,19812,2:21,2024,IND
3,2024-10-27,3:30p,Home,Philadelphia 76ers,L,114,118,1,2,L 2,17274,2:52,2024,IND
4,2024-10-28,7:00p,Away,Orlando Magic,L,115,119,1,3,L 3,18846,2:31,2024,IND
5,2024-10-30,7:00p,Home,Boston Celtics,W,135,132,2,3,W 1,17274,2:37,2024,IND
6,2024-11-01,8:00p,Away,New Orleans Pelicans,L,118,125,2,4,L 1,15133,2:10,2024,IND
7,2024-11-04,9:45p,Away,Dallas Mavericks,W,134,127,3,4,W 1,19613,2:12,2024,IND
