,G,Date,Start (ET),Opponent,Result,Tm,Opp,W,L,Streak,Attend.,LOG,Season,Team
51,50,"Sun, Feb 4, 2024",8:00p,Utah Jazz,L,108,123,33,17,L 1,18206,2:15,2024,MIL
52,51,"Tue, Feb 6, 2024",10:00p,Phoenix Suns,L,106,114,33,18,L 2,17071,2:35,2024,MIL
53,52,"Thu, Feb 8, 2024",8:00p,Minnesota Timberwolves,L,105,129,33,19,L 3,17577,2:05,2024,MIL
54,53,"Fri, Feb 9, 2024",8:00p,Charlotte Hornets,W,120,84,34,19,W 1,17690,2:08,2024,MIL
55,54,"Mon, Feb 12, 2024",8:00p,Denver Nuggets,W,112,95,35,19,W 2,17444,2:04,2024,MIL
56,55,"Tue, Feb 13, 2024",8:00p,Miami Heat,L,97,123,35,20,L 1,17520,2:06,2024,MIL
57,56,"Thu, Feb 15, 2024",8:30p,Memphis Grizzlies,L,110,113,35,21,L 2,16544,2:28,2024,MIL
58,57,"Fri, Feb 23, 2024",10:00p,Minnesota Timberwolves,W,112,107,36,21,W 1,18024,2:17,2024,MIL
59,58,"Sun, Feb 25, 2024",1:00p,Philadelphia 76ers,W,119,98,37,21,W 2,19831,2:14,2024,MIL
60,59,"Tue, Feb 27, 2024",8:00p,Charlotte Hornets,W,123,85,38,21,W 3,17607,2:00,2024,MIL
61,60,"Thu, Feb 29, 2024",7:00p,Charlotte Hornets,W,111,99,39,21,W 4,18463,2:10,2024,MIL
62,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,MIL
63,61,"Fri, Mar 1, 2024",10:00p,Chicago Bulls,W,113,97,40,21,W 5,21249,2:24,2024,MIL
64,62,"Mon, Mar 4, 2024",8:00p,Los Angeles Clippers,W,113,106,41,21,W 6,17875,2:13,2024,MIL
65,63,"Wed, Mar 6, 2024",10:00p,Golden State Warriors,L,90,125,41,22,L 1,18064,2:11,2024,MIL
66,64,"Fri, Mar 8, 2024",10:00p,Los Angeles Lakers,L,122,123,41,23,L 2,18997,2:20,2024,MIL
67,65,"Sun, Mar 10, 2024",3:00p,Los Angeles Clippers,W,124,117,42,23,W 1,19370,2:19,2024,MIL
68,66,"Tue, Mar 12, 2024",10:00p,Sacramento Kings,L,94,129,42,24,L 1,17832,2:17,2024,MIL
69,67,"Thu, Mar 14, 2024",8:00p,Philadelphia 76ers,W,114,105,43,24,W 1,17635,2:15,2024,MIL
70,68,"Sun, Mar 17, 2024",1:00p,Phoenix Suns,W,140,129,44,24,W 2,17783,2:10,2024,MIL
71,69,"Wed, Mar 20, 2024",7:30p,Boston Celtics,L,119,122,44,25,L 1,19156,2:24,2024,MIL
72,70,"Thu, Mar 21, 2024",8:00p,Brooklyn Nets,W,115,108,45,25,W 1,17341,2:17,2024,MIL
73,71,"Sun, Mar 24, 2024",7:00p,Oklahoma City Thunder,W,118,93,46,25,W 2,17877,2:08,2024,MIL
74,72,"Tue, Mar 26, 2024",7:30p,Los Angeles Lakers,L,124,128,46,26,L 1,18085,3:04,2024,MIL
75,73,"Thu, Mar 28, 2024",8:00p,New Orleans Pelicans,L,100,107,46,27,L 2,17484,2:20,2024,MIL
76,74,"Sat, Mar 30, 2024",7:30p,Atlanta Hawks,W,122,113,47,27,W 1,17700,2:26,2024,MIL
77,75,"Tue, Apr 2, 2024",7:00p,Washington Wizards,L,113,117,47,28,L 1,16492,2:13,2024,MIL
78,76,"Wed, Apr 3, 2024",8:00p,Memphis Grizzlies,L,101,111,47,29,L 2,17420,2:05,2024,MIL
79,77,"Fri, Apr 5, 2024",8:00p,Toronto Raptors,L,111,117,47,30,L 3,17750,2:21,2024,MIL
80,78,"Sun, Apr 7, 2024",7:00p,New York Knicks,L,109,122,47,31,L 4,17536,2:15,2024,MIL
81,79,"Tue, Apr 9, 2024",7:30p,Boston Celtics,W,104,91,48,31,W 1,17493,1:57,2024,MIL
82,80,"Wed, Apr 10, 2024",8:00p,Orlando Magic,W,117,99,49,31,W 2,17563,2:12,2024,MIL
83,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,MIL
84,81,"Fri, Apr 12, 2024",8:00p,Oklahoma City Thunder,L,107,125,49,32,L 1,18203,2:06,2024,MIL
85,82,"Sun, Apr 14, 2024",1:00p,Orlando Magic,L,88,113,49,33,L 2,18846,2:08,2024,MIL
0,1,"Wed, Oct 25, 2023",7:30p,Brooklyn Nets,W,114,113,1,0,W 1,17931,2:18,2024,CLE
1,2,"Fri, Oct 27, 2023",7:30p,Oklahoma City Thunder,L,105,108,1,1,L 1,19432,2:27,2024,CLE
2,3,"Sat, Oct 28, 2023",7:30p,Indiana Pacers,L,113,125,1,2,L 2,19432,2:10,2024,CLE
3,4,"Tue, Oct 31, 2023",7:30p,New York Knicks,L,91,109,1,3,L 3,19432,2:14,2024,CLE
4,5,"Wed, Nov 1, 2023",7:30p,New York Knicks,W,95,89,2,3,W 1,19812,2:22,2024,CLE
5,6,"Fri, Nov 3, 2023",7:00p,Indiana Pacers,L,116,121,2,4,L 1,16744,2:19,2024,CLE
6,7,"Sun, Nov 5, 2023",6:00p,Golden State Warriors,W,115,104,3,4,W 1,19432,2:17,2024,CLE
7,8,"Wed, Nov 8, 2023",8:00p,Oklahoma City Thunder,L,120,128,3,5,L 1,16314,2:19,2024,CLE
8,9,"Sat, Nov 11, 2023",8:30p,Golden State Warriors,W,118,110,4,5,W 1,18064,2:49,2024,CLE
9,10,"Mon, Nov 13, 2023",10:00p,Sacramento Kings,L,120,132,4,6,L 1,17829,2:17,2024,CLE
10,11,"Wed, Nov 15, 2023",10:00p,Portland Trail Blazers,W,109,95,5,6,W 1,18137,2:10,2024,CLE
11,12,"Fri, Nov 17, 2023",7:30p,Detroit Pistons,W,108,100,6,6,W 2,19432,2:05,2024,CLE
12,13,"Sun, Nov 19, 2023",6:00p,Denver Nuggets,W,121,109,7,6,W 3,19432,2:05,2024,CLE
13,14,"Tue, Nov 21, 2023",7:30p,Philadelphia 76ers,W,122,119,8,6,W 4,20565,2:51,2024,CLE
14,15,"Wed, Nov 22, 2023",7:30p,Miami Heat,L,96,129,8,7,L 1,19432,2:10,2024,CLE
15,16,"Sat, Nov 25, 2023",7:30p,Los Angeles Lakers,L,115,121,8,8,L 2,19432,2:12,2024,CLE
16,17,"Sun, Nov 26, 2023",7:30p,Toronto Raptors,W,105,102,9,8,W 1,19432,2:16,2024,CLE
17,18,"Tue, Nov 28, 2023",7:30p,Atlanta Hawks,W,128,105,10,8,W 2,19432,2:10,2024,CLE
18,19,"Thu, Nov 30, 2023",7:00p,Portland Trail Blazers,L,95,103,10,9,L 1,19432,2:04,2024,CLE
19,20,"Sat, Dec 2, 2023",7:00p,Detroit Pistons,W,110,101,11,9,W 1,18924,2:05,2024,CLE
20,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,CLE
21,21,"Wed, Dec 6, 2023",7:00p,Orlando Magic,W,121,111,12,9,W 2,19432,2:25,2024,CLE
22,22,"Fri, Dec 8, 2023",8:00p,Miami Heat,W,111,99,13,9,W 3,19600,2:12,2024,CLE
23,23,"Mon, Dec 11, 2023",7:00p,Orlando Magic,L,94,104,13,10,L 1,19032,2:25,2024,CLE
24,24,"Tue, Dec 12, 2023",7:30p,Boston Celtics,L,113,120,13,11,L 2,19156,2:02,2024,CLE
25,25,"Thu, Dec 14, 2023",7:30p,Boston Celtics,L,107,116,13,12,L 3,19156,2:07,2024,CLE
26,26,"Sat, Dec 16, 2023",7:30p,Atlanta Hawks,W,127,119,14,12,W 1,19432,2:09,2024,CLE
27,27,"Mon, Dec 18, 2023",7:00p,Houston Rockets,W,135,130,15,12,W 2,19432,2:41,2024,CLE
28,28,"Wed, Dec 20, 2023",7:00p,Utah Jazz,W,124,116,16,12,W 3,19432,2:07,2024,CLE
29,29,"Thu, Dec 21, 2023",7:30p,New Orleans Pelicans,L,104,123,16,13,L 1,19432,1:55,2024,CLE
30,30,"Sat, Dec 23, 2023",8:00p,Chicago Bulls,W,109,95,17,13,W 1,19583,2:07,2024,CLE
31,31,"Wed, Dec 27, 2023",8:30p,Dallas Mavericks,W,113,110,18,13,W 2,20377,2:15,2024,CLE
32,32,"Fri, Dec 29, 2023",7:30p,Milwaukee Bucks,L,111,119,18,14,L 1,19432,2:16,2024,CLE
33,33,"Mon, Jan 1, 2024",7:30p,Toronto Raptors,L,121,124,18,15,L 2,19800,2:28,2024,CLE
34,34,"Wed, Jan 3, 2024",7:00p,Washington Wizards,W,140,101,19,15,W 1,19432,1:57,2024,CLE
35,35,"Fri, Jan 5, 2024",7:30p,Washington Wizards,W,114,90,20,15,W 2,19432,2:05,2024,CLE
36,36,"Sun, Jan 7, 2024",1:00p,San Antonio Spurs,W,117,115,21,15,W 3,19432,2:18,2024,CLE
37,37,"Thu, Jan 11, 2024",2:00p,Brooklyn Nets,W,111,102,22,15,W 4,15887,2:31,2024,CLE
38,38,"Mon, Jan 15, 2024",7:00p,Chicago Bulls,W,109,91,23,15,W 5,19432,2:10,2024,CLE
39,39,"Wed, Jan 17, 2024",7:30p,Milwaukee Bucks,W,135,95,24,15,W 6,19432,2:02,2024,CLE
40,40,"Sat, Jan 20, 2024",7:30p,Atlanta Hawks,W,116,95,25,15,W 7,17047,2:04,2024,CLE
41,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,CLE
42,41,"Mon, Jan 22, 2024",7:00p,Orlando Magic,W,126,99,26,15,W 8,19301,2:12,2024,CLE
43,42,"Wed, Jan 24, 2024",8:00p,Milwaukee Bucks,L,116,126,26,16,L 1,17510,2:09,2024,CLE
44,43,"Fri, Jan 26, 2024",8:00p,Milwaukee Bucks,W,112,100,27,16,W 1,17855,2:27,2024,CLE
45,44,"Mon, Jan 29, 2024",7:00p,Los Angeles Clippers,W,118,108,28,16,W 2,19432,2:18,2024,CLE
46,45,"Wed, Jan 31, 2024",7:00p,Detroit Pistons,W,128,121,29,16,W 3,19432,2:13,2024,CLE
47,46,"Thu, Feb 1, 2024",8:00p,Memphis Grizzlies,W,108,101,30,16,W 4,15505,2:13,2024,CLE
48,47,"Sat, Feb 3, 2024",8:30p,San Antonio Spurs,W,117,101,31,16,W 5,18354,2:14,2024,CLE
49,48,"Mon, Feb 5, 2024",7:00p,Sacramento Kings,W,136,110,32,16,W 6,19432,2:08,2024,CLE
50,49,"Wed, Feb 7, 2024",7:00p,Washington Wizards,W,114,106,33,16,W 7,15860,2:13,2024,CLE
51,50,"Thu, Feb 8, 2024",7:30p,Brooklyn Nets,W,118,95,34,16,W 8,17304,2:03,2024,CLE
52,51,"Sat, Feb 10, 2024",7:30p,Toronto Raptors,W,119,95,35,16,W 9,19800,2:03,2024,CLE
53,52,"Mon, Feb 12, 2024",7:00p,Philadelphia 76ers,L,121,123,35,17,L 1,19432,2:21,2024,CLE
54,53,"Wed, Feb 14, 2024",7:30p,Chicago Bulls,W,108,105,36,17,W 1,19432,2:20,2024,CLE
55,54,"Thu, Feb 22, 2024",7:00p,Orlando Magic,L,109,116,36,18,L 1,19432,2:15,2024,CLE
56,55,"Fri, Feb 23, 2024",7:30p,Philadelphia 76ers,L,97,104,36,19,L 2,19938,2:19,2024,CLE
57,56,"Sun, Feb 25, 2024",6:00p,Washington Wizards,W,114,105,37,19,W 1,17895,2:14,2024,CLE
58,57,"Tue, Feb 27, 2024",7:00p,Dallas Mavericks,W,121,119,38,19,W 2,19432,2:05,2024,CLE
59,58,"Wed, Feb 28, 2024",8:00p,Chicago Bulls,L,123,132,38,20,L 1,21700,2:43,2024,CLE
60,59,"Fri, Mar 1, 2024",7:00p,Detroit Pistons,W,110,100,39,20,W 1,19299,2:12,2024,CLE
61,60,"Sun, Mar 3, 2024",7:00p,New York Knicks,L,98,107,39,21,L 1,19432,2:07,2024,CLE
62,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,CLE
63,61,"Tue, Mar 5, 2024",7:30p,Boston Celtics,W,105,104,40,21,W 1,19432,2:11,2024,CLE
64,62,"Wed, Mar 6, 2024",7:30p,Atlanta Hawks,L,101,112,40,22,L 1,15841,2:03,2024,CLE
65,63,"Fri, Mar 8, 2024",7:30p,Minnesota Timberwolves,W,113,104,41,22,W 1,19432,2:49,2024,CLE
66,64,"Sun, Mar 10, 2024",7:00p,Brooklyn Nets,L,101,120,41,23,L 1,19432,2:05,2024,CLE
67,65,"Mon, Mar 11, 2024",7:30p,Phoenix Suns,L,111,117,41,24,L 2,19432,2:10,2024,CLE
68,66,"Wed, Mar 13, 2024",8:00p,New Orleans Pelicans,W,116,95,42,24,W 1,17727,1:57,2024,CLE
69,67,"Sat, Mar 16, 2024",5:00p,Houston Rockets,L,103,117,42,25,L 1,18055,2:01,2024,CLE
70,68,"Mon, Mar 18, 2024",7:00p,Indiana Pacers,W,108,103,43,25,W 1,17274,2:17,2024,CLE
71,69,"Wed, Mar 20, 2024",7:00p,Miami Heat,L,104,107,43,26,L 1,19432,2:14,2024,CLE
72,70,"Fri, Mar 22, 2024",8:00p,Minnesota Timberwolves,L,91,104,43,27,L 2,18024,2:02,2024,CLE
73,71,"Sun, Mar 24, 2024",6:00p,Miami Heat,L,84,121,43,28,L 3,19645,2:06,2024,CLE
74,72,"Mon, Mar 25, 2024",7:00p,Charlotte Hornets,W,115,92,44,28,W 1,19432,2:04,2024,CLE
75,73,"Wed, Mar 27, 2024",7:00p,Charlotte Hornets,L,111,118,44,29,L 1,15303,2:10,2024,CLE
76,74,"Fri, Mar 29, 2024",7:30p,Philadelphia 76ers,W,117,114,45,29,W 1,19432,2:19,2024,CLE
77,75,"Sun, Mar 31, 2024",3:30p,Denver Nuggets,L,101,130,45,30,L 1,19621,2:07,2024,CLE
78,76,"Tue, Apr 2, 2024",9:00p,Utah Jazz,W,129,113,46,30,W 1,18206,2:05,2024,CLE
79,77,"Wed, Apr 3, 2024",10:00p,Phoenix Suns,L,101,122,46,31,L 1,17071,2:14,2024,CLE
80,78,"Sat, Apr 6, 2024",3:30p,Los Angeles Lakers,L,97,116,46,32,L 2,18997,2:04,2024,CLE
81,79,"Sun, Apr 7, 2024",3:30p,Los Angeles Clippers,L,118,120,46,33,L 3,19370,2:19,2024,CLE
82,80,"Wed, Apr 10, 2024",7:00p,Memphis Grizzlies,W,110,98,47,33,W 1,19432,2:10,2024,CLE
83,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,CLE
84,81,"Fri, Apr 12, 2024",7:30p,Indiana Pacers,W,129,120,48,33,W 2,19432,2:11,2024,CLE
85,82,"Sun, Apr 14, 2024",1:00p,Charlotte Hornets,L,110,120,48,34,L 1,19432,1:48,2024,CLE
0,1,"Wed, Oct 25, 2023",7:00p,Houston Rockets,W,116,86,1,0,W 1,18846,2:14,2024,ORL
1,2,"Fri, Oct 27, 2023",10:00p,Portland Trail Blazers,W,102,97,2,0,W 2,19464,2:19,2024,ORL
2,3,"Mon, Oct 30, 2023",10:30p,Los Angeles Lakers,L,103,106,2,1,L 1,18997,2:18,2024,ORL
3,4,"Tue, Oct 31, 2023",10:30p,Los Angeles Clippers,L,102,118,2,2,L 2,14014,2:17,2024,ORL
4,5,"Thu, Nov 2, 2023",9:00p,Utah Jazz,W,115,113,3,2,W 1,18206,2:34,2024,ORL
5,6,"Sat, Nov 4, 2023",7:00p,Los Angeles Lakers,W,120,101,4,2,W 2,18846,2:21,2024,ORL
6,7,"Mon, Nov 6, 2023",7:00p,Dallas Mavericks,L,102,117,4,3,L 1,19409,2:22,2024,ORL
7,8,"Thu, Nov 9, 2023",9:30p,Atlanta Hawks,L,119,120,4,4,L 2,19986,2:31,2024,ORL
8,9,"Sat, Nov 11, 2023",6:00p,Milwaukee Bucks,W,112,97,5,4,W 1,19354,2:25,2024,ORL
9,10,"Tue, Nov 14, 2023",7:30p,Brooklyn Nets,L,104,124,5,5,L 1,17361,2:07,2024,ORL
10,11,"Wed, Nov 15, 2023",8:00p,Chicago Bulls,W,96,94,6,5,W 1,19092,2:20,2024,ORL
11,12,"Fri, Nov 17, 2023",8:00p,Chicago Bulls,W,103,97,7,5,W 2,20235,2:17,2024,ORL
12,13,"Sun, Nov 19, 2023",5:00p,Indiana Pacers,W,128,116,8,5,W 3,17276,2:26,2024,ORL
13,14,"Tue, Nov 21, 2023",7:00p,Toronto Raptors,W,126,107,9,5,W 4,18846,2:10,2024,ORL
14,15,"Wed, Nov 22, 2023",7:00p,Denver Nuggets,W,124,119,10,5,W 5,18237,2:22,2024,ORL
15,16,"Fri, Nov 24, 2023",2:30p,Boston Celtics,W,113,96,11,5,W 6,18846,2:17,2024,ORL
16,17,"Sun, Nov 26, 2023",6:00p,Charlotte Hornets,W,130,117,12,5,W 7,18846,2:16,2024,ORL
17,18,"Wed, Nov 29, 2023",7:00p,Washington Wizards,W,139,120,13,5,W 8,17109,2:13,2024,ORL
18,19,"Fri, Dec 1, 2023",7:00p,Washington Wizards,W,130,125,14,5,W 9,18846,2:30,2024,ORL
19,20,"Sat, Dec 2, 2023",7:00p,Brooklyn Nets,L,101,129,14,6,L 1,17966,2:20,2024,ORL
20,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,ORL
21,21,"Wed, Dec 6, 2023",7:00p,Cleveland Cavaliers,L,111,121,14,7,L 2,19432,2:25,2024,ORL
22,22,"Fri, Dec 8, 2023",7:00p,Detroit Pistons,W,123,91,15,7,W 1,18655,2:08,2024,ORL
23,23,"Mon, Dec 11, 2023",7:00p,Cleveland Cavaliers,W,104,94,16,7,W 2,19032,2:25,2024,ORL
24,24,"Fri, Dec 15, 2023",7:30p,Boston Celtics,L,111,128,16,8,L 1,19156,2:06,2024,ORL
25,25,"Sun, Dec 17, 2023",3:00p,Boston Celtics,L,97,114,16,9,L 2,19156,2:10,2024,ORL
26,26,"Wed, Dec 20, 2023",7:00p,Miami Heat,L,106,115,16,10,L 3,19129,2:19,2024,ORL
27,27,"Thu, Dec 21, 2023",8:00p,Milwaukee Bucks,L,114,118,16,11,L 4,17928,2:25,2024,ORL
28,28,"Sat, Dec 23, 2023",7:00p,Indiana Pacers,W,117,110,17,11,W 1,17274,2:20,2024,ORL
29,29,"Tue, Dec 26, 2023",7:00p,Washington Wizards,W,127,119,18,11,W 2,16293,2:20,2024,ORL
30,30,"Wed, Dec 27, 2023",7:00p,Philadelphia 76ers,L,92,112,18,12,L 1,19179,2:15,2024,ORL
31,31,"Fri, Dec 29, 2023",7:00p,New York Knicks,W,117,108,19,12,W 1,19587,2:31,2024,ORL
32,32,"Sun, Dec 31, 2023",8:00p,Phoenix Suns,L,107,112,19,13,L 1,17071,2:06,2024,ORL
33,33,"Tue, Jan 2, 2024",10:00p,Golden State Warriors,L,115,121,19,14,L 2,18064,2:33,2024,ORL
34,34,"Wed, Jan 3, 2024",10:00p,Sacramento Kings,L,135,138,19,15,L 3,17832,2:59,2024,ORL
35,35,"Fri, Jan 5, 2024",9:00p,Denver Nuggets,W,122,120,20,15,W 1,19659,2:15,2024,ORL
36,36,"Sun, Jan 7, 2024",6:00p,Atlanta Hawks,W,117,110,21,15,W 2,19349,2:35,2024,ORL
37,37,"Tue, Jan 9, 2024",7:00p,Minnesota Timberwolves,L,92,113,21,16,L 1,19223,2:07,2024,ORL
38,38,"Fri, Jan 12, 2024",8:00p,Miami Heat,L,96,99,21,17,L 2,19650,2:27,2024,ORL
39,39,"Sat, Jan 13, 2024",8:00p,Oklahoma City Thunder,L,100,112,21,18,L 3,18203,2:10,2024,ORL
40,40,"Mon, Jan 15, 2024",3:00p,New York Knicks,W,98,94,22,18,W 1,19812,2:16,2024,ORL
41,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,ORL
42,41,"Wed, Jan 17, 2024",7:30p,Atlanta Hawks,L,104,106,22,19,L 1,14541,2:14,2024,ORL
43,42,"Fri, Jan 19, 2024",7:00p,Philadelphia 76ers,L,109,124,22,20,L 2,19063,2:16,2024,ORL
44,43,"Sun, Jan 21, 2024",6:00p,Miami Heat,W,105,87,23,20,W 1,18102,2:17,2024,ORL
45,44,"Mon, Jan 22, 2024",7:00p,Cleveland Cavaliers,L,99,126,23,21,L 1,19301,2:12,2024,ORL
46,45,"Fri, Jan 26, 2024",8:00p,Memphis Grizzlies,L,106,107,23,22,L 2,16823,2:15,2024,ORL
47,46,"Sun, Jan 28, 2024",6:00p,Phoenix Suns,W,113,98,24,22,W 1,18823,2:24,2024,ORL
48,47,"Mon, Jan 29, 2024",8:30p,Dallas Mavericks,L,129,131,24,23,L 1,20020,2:35,2024,ORL
49,48,"Wed, Jan 31, 2024",8:00p,San Antonio Spurs,W,108,98,25,23,W 1,17081,2:11,2024,ORL
50,49,"Fri, Feb 2, 2024",8:00p,Minnesota Timberwolves,W,108,106,26,23,W 2,18024,2:16,2024,ORL
51,50,"Sun, Feb 4, 2024",3:00p,Detroit Pistons,W,111,99,27,23,W 3,17982,2:08,2024,ORL
52,51,"Tue, Feb 6, 2024",7:30p,Miami Heat,L,95,121,27,24,L 1,19600,2:08,2024,ORL
53,52,"Thu, Feb 8, 2024",7:00p,San Antonio Spurs,W,127,111,28,24,W 1,19074,2:15,2024,ORL
54,53,"Sat, Feb 10, 2024",7:00p,Chicago Bulls,W,114,108,29,24,W 2,19459,2:21,2024,ORL
55,54,"Tue, Feb 13, 2024",7:30p,Oklahoma City Thunder,L,113,127,29,25,L 1,19301,2:18,2024,ORL
56,55,"Wed, Feb 14, 2024",7:00p,New York Knicks,W,118,100,30,25,W 1,19259,2:08,2024,ORL
57,56,"Thu, Feb 22, 2024",7:00p,Cleveland Cavaliers,W,116,109,31,25,W 2,19432,2:15,2024,ORL
58,57,"Sat, Feb 24, 2024",8:00p,Detroit Pistons,W,112,109,32,25,W 3,19388,2:09,2024,ORL
59,58,"Sun, Feb 25, 2024",7:00p,Atlanta Hawks,L,92,109,32,26,L 1,17173,2:06,2024,ORL
60,59,"Tue, Feb 27, 2024",7:00p,Brooklyn Nets,W,108,81,33,26,W 1,17708,2:15,2024,ORL
61,60,"Thu, Feb 29, 2024",7:00p,Utah Jazz,W,115,107,34,26,W 2,17848,2:15,2024,ORL
62,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,ORL
63,61,"Sun, Mar 3, 2024",6:00p,Detroit Pistons,W,113,91,35,26,W 3,19459,2:10,2024,ORL
64,62,"Tue, Mar 5, 2024",7:00p,Charlotte Hornets,W,101,89,36,26,W 4,15928,2:08,2024,ORL
65,63,"Wed, Mar 6, 2024",7:00p,Washington Wizards,W,119,109,37,26,W 5,16018,2:14,2024,ORL
66,64,"Fri, Mar 8, 2024",7:30p,New York Knicks,L,74,98,37,27,L 1,19812,2:03,2024,ORL
67,65,"Sun, Mar 10, 2024",6:00p,Indiana Pacers,L,97,111,37,28,L 2,19481,2:19,2024,ORL
68,66,"Wed, Mar 13, 2024",7:00p,Brooklyn Nets,W,114,106,38,28,W 1,18846,2:19,2024,ORL
69,67,"Fri, Mar 15, 2024",7:30p,Toronto Raptors,W,113,103,39,28,W 2,19800,2:14,2024,ORL
70,68,"Sun, Mar 17, 2024",6:00p,Toronto Raptors,W,111,96,40,28,W 3,18846,2:10,2024,ORL
71,69,"Tue, Mar 19, 2024",7:00p,Charlotte Hornets,W,112,92,41,28,W 4,18846,2:01,2024,ORL
72,70,"Thu, Mar 21, 2024",7:00p,New Orleans Pelicans,W,121,106,42,28,W 5,17094,2:09,2024,ORL
73,71,"Sat, Mar 23, 2024",7:00p,Sacramento Kings,L,107,109,42,29,L 1,18307,2:18,2024,ORL
74,72,"Wed, Mar 27, 2024",7:00p,Golden State Warriors,L,93,101,42,30,L 2,19210,2:11,2024,ORL
75,73,"Fri, Mar 29, 2024",7:00p,Los Angeles Clippers,L,97,100,42,31,L 3,19452,2:10,2024,ORL
76,74,"Sat, Mar 30, 2024",7:00p,Memphis Grizzlies,W,118,88,43,31,W 1,18009,2:06,2024,ORL
77,75,"Mon, Apr 1, 2024",7:00p,Portland Trail Blazers,W,104,103,44,31,W 2,19004,2:11,2024,ORL
78,76,"Wed, Apr 3, 2024",8:00p,New Orleans Pelicans,W,117,108,45,31,W 3,16427,,2024,ORL
79,77,"Fri, Apr 5, 2024",7:00p,Charlotte Hornets,L,115,124,45,32,L 1,16374,2:13,2024,ORL
80,78,"Sun, Apr 7, 2024",6:00p,Chicago Bulls,W,113,98,46,32,W 1,19276,2:11,2024,ORL
81,79,"Tue, Apr 9, 2024",8:00p,Houston Rockets,L,106,118,46,33,L 1,18055,2:11,2024,ORL
82,80,"Wed, Apr 10, 2024",8:00p,Milwaukee Bucks,L,99,117,46,34,L 2,17563,2:12,2024,ORL
83,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,ORL
84,81,"Fri, Apr 12, 2024",7:00p,Philadelphia 76ers,L,113,125,46,35,L 3,20149,2:21,2024,ORL
85,82,"Sun, Apr 14, 2024",1:00p,Milwaukee Bucks,W,113,88,47,35,W 1,18846,2:08,2024,ORL
0,1,"Wed, Oct 25, 2023",7:00p,Washington Wizards,W,143,120,1,0,W 1,16004,2:07,2024,IND
1,2,"Sat, Oct 28, 2023",7:30p,Cleveland Cavaliers,W,125,113,2,0,W 2,19432,2:10,2024,IND
2,3,"Mon, Oct 30, 2023",7:00p,Chicago Bulls,L,105,112,2,1,L 1,15021,2:26,2024,IND
3,4,"Wed, Nov 1, 2023",7:30p,Boston Celtics,L,104,155,2,2,L 2,19156,2:03,2024,IND
4,5,"Fri, Nov 3, 2023",7:00p,Cleveland Cavaliers,W,121,116,3,2,W 1,16744,2:19,2024,IND
5,6,"Sat, Nov 4, 2023",7:00p,Charlotte Hornets,L,124,125,3,3,L 1,15945,2:32,2024,IND
6,7,"Mon, Nov 6, 2023",7:00p,San Antonio Spurs,W,152,111,4,3,W 1,15129,2:12,2024,IND
7,8,"Wed, Nov 8, 2023",7:00p,Utah Jazz,W,134,118,5,3,W 2,14509,2:09,2024,IND
8,9,"Thu, Nov 9, 2023",7:00p,Milwaukee Bucks,W,126,124,6,3,W 3,14648,2:25,2024,IND
9,10,"Sun, Nov 12, 2023",6:00p,Philadelphia 76ers,L,126,137,6,4,L 1,19758,2:06,2024,IND
10,11,"Tue, Nov 14, 2023",7:00p,Philadelphia 76ers,W,132,126,7,4,W 1,19774,2:37,2024,IND
11,12,"Sun, Nov 19, 2023",5:00p,Orlando Magic,L,116,128,7,5,L 1,17276,2:26,2024,IND
12,13,"Tue, Nov 21, 2023",7:30p,Atlanta Hawks,W,157,152,8,5,W 1,17162,2:18,2024,IND
13,14,"Wed, Nov 22, 2023",7:30p,Toronto Raptors,L,131,132,8,6,L 1,17091,2:19,2024,IND
14,15,"Fri, Nov 24, 2023",8:00p,Detroit Pistons,W,136,113,9,6,W 1,17274,2:14,2024,IND
15,16,"Mon, Nov 27, 2023",7:00p,Portland Trail Blazers,L,110,114,9,7,L 1,14508,2:29,2024,IND
16,17,"Thu, Nov 30, 2023",7:30p,Miami Heat,L,132,142,9,8,L 2,19604,2:33,2024,IND
17,18,"Sat, Dec 2, 2023",8:00p,Miami Heat,W,144,129,10,8,W 1,19650,2:17,2024,IND
18,19,"Mon, Dec 4, 2023",7:30p,Boston Celtics,W,122,112,11,8,W 2,16693,2:14,2024,IND
19,20,"Thu, Dec 7, 2023",5:00p,Milwaukee Bucks,W,128,119,12,8,W 3,16837,2:27,2024,IND
20,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,IND
