,G,Date,Start (ET),Opponent,Result,Tm,Opp,W,L,Streak,Attend.,LOG,Season,Team
71,69,"Thu, Mar 21, 2024",9:00p,Denver Nuggets,L,100,113,41,28,L 1,19811,2:13,2024,NYK
72,70,"Sat, Mar 23, 2024",1:00p,Brooklyn Nets,W,105,93,42,28,W 1,19812,2:00,2024,NYK
73,71,"Mon, Mar 25, 2024",7:30p,Detroit Pistons,W,124,99,43,28,W 2,19812,2:11,2024,NYK
74,72,"Wed, Mar 27, 2024",7:30p,Toronto Raptors,W,145,101,44,28,W 3,19133,2:06,2024,NYK
75,73,"Fri, Mar 29, 2024",8:00p,San Antonio Spurs,L,126,130,44,29,L 1,18604,2:37,2024,NYK
76,74,"Sun, Mar 31, 2024",7:00p,Oklahoma City Thunder,L,112,113,44,30,L 2,19812,2:33,2024,NYK
77,75,"Tue, Apr 2, 2024",7:30p,Miami Heat,L,99,109,44,31,L 3,19857,2:16,2024,NYK
78,76,"Thu, Apr 4, 2024",7:30p,Sacramento Kings,W,120,109,45,31,W 1,19812,2:28,2024,NYK
79,77,"Fri, Apr 5, 2024",8:00p,Chicago Bulls,L,100,108,45,32,L 1,21599,2:17,2024,NYK
80,78,"Sun, Apr 7, 2024",7:00p,Milwaukee Bucks,W,122,109,46,32,W 1,17536,2:15,2024,NYK
81,79,"Tue, Apr 9, 2024",8:00p,Chicago Bulls,W,128,117,47,32,W 2,21648,2:12,2024,NYK
82,80,"Thu, Apr 11, 2024",7:30p,Boston Celtics,W,118,109,48,32,W 3,19156,2:04,2024,NYK
83,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,NYK
84,81,"Fri, Apr 12, 2024",7:30p,Brooklyn Nets,W,111,107,49,32,W 4,19812,2:15,2024,NYK
85,82,"Sun, Apr 14, 2024",1:00p,Chicago Bulls,W,120,119,50,32,W 5,19812,2:35,2024,NYK
0,1,"Thu, Oct 26, 2023",7:30p,Philadelphia 76ers,W,118,117,1,0,W 1,17783,2:40,2024,MIL
1,2,"Sun, Oct 29, 2023",7:00p,Atlanta Hawks,L,110,127,1,1,L 1,17341,2:15,2024,MIL
2,3,"Mon, Oct 30, 2023",8:00p,Miami Heat,W,122,114,2,1,W 1,17341,2:24,2024,MIL
3,4,"Wed, Nov 1, 2023",7:00p,Toronto Raptors,L,111,130,2,2,L 1,19800,2:19,2024,MIL
4,5,"Fri, Nov 3, 2023",7:30p,New York Knicks,W,110,105,3,2,W 1,17717,2:37,2024,MIL
5,6,"Mon, Nov 6, 2023",7:30p,Brooklyn Nets,W,129,125,4,2,W 2,17935,2:20,2024,MIL
6,7,"Wed, Nov 8, 2023",8:00p,Detroit Pistons,W,120,118,5,2,W 3,17341,2:20,2024,MIL
7,8,"Thu, Nov 9, 2023",7:00p,Indiana Pacers,L,124,126,5,3,L 1,14648,2:25,2024,MIL
8,9,"Sat, Nov 11, 2023",6:00p,Orlando Magic,L,97,112,5,4,L 2,19354,2:25,2024,MIL
9,10,"Mon, Nov 13, 2023",8:00p,Chicago Bulls,W,118,109,6,4,W 1,17865,2:16,2024,MIL
10,11,"Wed, Nov 15, 2023",7:30p,Toronto Raptors,W,128,112,7,4,W 2,19800,2:15,2024,MIL
11,12,"Fri, Nov 17, 2023",7:00p,Charlotte Hornets,W,130,99,8,4,W 3,19258,2:09,2024,MIL
12,13,"Sat, Nov 18, 2023",8:00p,Dallas Mavericks,W,132,125,9,4,W 4,18128,2:07,2024,MIL
13,14,"Mon, Nov 20, 2023",7:00p,Washington Wizards,W,142,129,10,4,W 5,17746,2:05,2024,MIL
14,15,"Wed, Nov 22, 2023",7:30p,Boston Celtics,L,116,119,10,5,L 1,19156,2:13,2024,MIL
15,16,"Fri, Nov 24, 2023",8:00p,Washington Wizards,W,131,128,11,5,W 1,17880,2:20,2024,MIL
16,17,"Sun, Nov 26, 2023",3:30p,Portland Trail Blazers,W,108,102,12,5,W 2,17602,2:29,2024,MIL
17,18,"Tue, Nov 28, 2023",7:30p,Miami Heat,W,131,124,13,5,W 3,19691,2:31,2024,MIL
18,19,"Thu, Nov 30, 2023",8:00p,Chicago Bulls,L,113,120,13,6,L 1,19838,2:36,2024,MIL
19,20,"Sat, Dec 2, 2023",8:00p,Atlanta Hawks,W,132,121,14,6,W 1,17866,2:04,2024,MIL
20,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,MIL
21,21,"Tue, Dec 5, 2023",7:30p,New York Knicks,W,146,122,15,6,W 2,17448,2:21,2024,MIL
22,22,"Thu, Dec 7, 2023",5:00p,Indiana Pacers,L,119,128,15,7,L 1,16837,2:27,2024,MIL
23,23,"Mon, Dec 11, 2023",8:00p,Chicago Bulls,W,133,129,16,7,W 1,17440,2:41,2024,MIL
24,24,"Wed, Dec 13, 2023",8:00p,Indiana Pacers,W,140,126,17,7,W 2,17431,2:48,2024,MIL
25,25,"Sat, Dec 16, 2023",6:00p,Detroit Pistons,W,146,114,18,7,W 3,17666,2:13,2024,MIL
26,26,"Sun, Dec 17, 2023",7:00p,Houston Rockets,W,128,119,19,7,W 4,17341,2:21,2024,MIL
27,27,"Tue, Dec 19, 2023",8:00p,San Antonio Spurs,W,132,119,20,7,W 5,17729,2:07,2024,MIL
28,28,"Thu, Dec 21, 2023",8:00p,Orlando Magic,W,118,114,21,7,W 6,17928,2:25,2024,MIL
29,29,"Sat, Dec 23, 2023",12:30p,New York Knicks,W,130,111,22,7,W 7,19812,2:11,2024,MIL
30,30,"Mon, Dec 25, 2023",12:00p,New York Knicks,L,122,129,22,8,L 1,19812,2:23,2024,MIL
31,31,"Wed, Dec 27, 2023",7:30p,Brooklyn Nets,W,144,122,23,8,W 1,18199,2:16,2024,MIL
32,32,"Fri, Dec 29, 2023",7:30p,Cleveland Cavaliers,W,119,111,24,8,W 2,19432,2:16,2024,MIL
33,33,"Mon, Jan 1, 2024",8:00p,Indiana Pacers,L,113,122,24,9,L 1,17922,2:22,2024,MIL
34,34,"Wed, Jan 3, 2024",7:00p,Indiana Pacers,L,130,142,24,10,L 2,17274,2:35,2024,MIL
35,35,"Thu, Jan 4, 2024",7:30p,San Antonio Spurs,W,125,121,25,10,W 1,19082,2:16,2024,MIL
36,36,"Sat, Jan 6, 2024",8:00p,Houston Rockets,L,108,112,25,11,L 1,18055,2:37,2024,MIL
37,37,"Mon, Jan 8, 2024",8:00p,Utah Jazz,L,116,132,25,12,L 2,17341,2:10,2024,MIL
38,38,"Thu, Jan 11, 2024",7:30p,Boston Celtics,W,135,102,26,12,W 1,17781,2:12,2024,MIL
39,39,"Sat, Jan 13, 2024",8:00p,Golden State Warriors,W,129,118,27,12,W 2,18009,2:08,2024,MIL
40,40,"Sun, Jan 14, 2024",7:00p,Sacramento Kings,W,143,142,28,12,W 3,17612,2:39,2024,MIL
41,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,MIL
42,41,"Wed, Jan 17, 2024",7:30p,Cleveland Cavaliers,L,95,135,28,13,L 1,19432,2:02,2024,MIL
43,42,"Sat, Jan 20, 2024",3:00p,Detroit Pistons,W,141,135,29,13,W 1,19996,2:27,2024,MIL
44,43,"Mon, Jan 22, 2024",7:00p,Detroit Pistons,W,122,113,30,13,W 2,17201,2:19,2024,MIL
45,44,"Wed, Jan 24, 2024",8:00p,Cleveland Cavaliers,W,126,116,31,13,W 3,17510,2:09,2024,MIL
46,45,"Fri, Jan 26, 2024",8:00p,Cleveland Cavaliers,L,100,112,31,14,L 1,17855,2:27,2024,MIL
47,46,"Sat, Jan 27, 2024",8:00p,New Orleans Pelicans,W,141,117,32,14,W 1,17940,2:14,2024,MIL
48,47,"Mon, Jan 29, 2024",9:00p,Denver Nuggets,L,107,113,32,15,L 1,19801,2:19,2024,MIL
49,48,"Wed, Jan 31, 2024",10:00p,Portland Trail Blazers,L,116,119,32,16,L 2,19335,2:24,2024,MIL
50,49,"Sat, Feb 3, 2024",8:30p,Dallas Mavericks,W,129,117,33,16,W 1,20377,2:18,2024,MIL
